case_id,title,suite,suite_id,assignee,time_spent_ms,status,finish_time,steps,steps_input_data,steps_expected_result,steps_status,comment,priority,severity,automation,type,tags,step_comments,case_parameter
14,"Edit Account  For all  Valid","Edit Account",5,"Kaniz Fatema Any",20400,Passed,"2023-01-04 16:22:57","1. Go to ABC Bank Login page
2. Login as a manager
3. Go to Edit Account
4. Account Number
5. Click Submit
","1. https://abc-bank.com/login
2. manager ID:123456,Password:67890
3. N/A
4. 1234560
5. N/A
","1. Login page show
2. Dashboard Display
3. Edit Account Page will Display
4. System Allow input
5. System Successfully Edit a Account
","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
",,High,Major,"To be automated",Functional,,"1. 
2. 
3. 
4. 
5. ",
15,"Edit Account  For all  Invalid","Edit Account",5,"Kaniz Fatema Any",60000,Failed,"2023-01-04 16:24:09","1. Go to ABC Bank Login page
2. Login as a manager
3. Go to Edit Account
4. Account Number
5. Click Submit
","1. https://abc-bank.com/login
2. manager ID:123456,Password:67890
3. N/A
4. rat 1cat
5. N/A
","1. Login page show
2. Dashboard Display
3. Edit Account Page will Display
4. System Allow input
5. System Shows the error message for edit account
","1. Passed
2. Passed
3. Passed
4. Failed
5. Untested
",,Medium,Normal,"To be automated",Functional,,"1. 
2. 
3. 
4. 
5. ",
16,"Edit Account  For Reset","Edit Account",5,"Kaniz Fatema Any",20308,Passed,"2023-01-04 16:25:01","1. Go to ABC Bank Login page
2. Login as a manager
3. Go to Edit Account
4. Account Number
5. Click Reset
","1. https://abc-bank.com/login
2. manager ID:123456,Password:67890
3. N/A
4. rat 1cat
5. N/A
","1. Login page show
2. Dashboard Display
3. Edit Account Page will Display
4. System Allow input
5. System Successfully clear all data
","1. Passed
2. Passed
3. Untested
4. Passed
5. Passed
",,High,Major,"To be automated",Functional,,"1. 
2. 
3. 
4. 
5. ",
18,"Delete a Customer Account for valid number","Delete Account",6,"Kaniz Fatema Any",17306,Passed,"2023-01-04 16:17:49","1. Go to ABC Bank Login page
2. Login as a manager
3. Go to Delete Account
4. Account Number
5. Click Submit
","1. https://abc-bank.com/login
2. manager ID:123456,Password:67890
3. N/A
4. 1234560
5. N/A
","1. Login page show
2. Dashboard Display
3. Delete Account Page will Display
4. System Allow input
5. System Successfully Delete a Account
","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
",,High,Major,"To be automated",Functional,,"1. 
2. 
3. 
4. 
5. ",
19,"Delete a Customer Account all invalid number","Delete Account",6,"Kaniz Fatema Any",19000,Failed,"2023-01-04 16:18:13","1. Go to ABC Bank Login page
2. Login as a manager
3. Go to Delete Account
4. Account Number
5. Click Submit
","1. https://abc-bank.com/login
2. manager ID:123456,Password:67890
3. N/A
4. aqsrrew$@..
5. N/A
","1. Login page show
2. Dashboard Display
3. Delete Account Page will Display
4. System Allow input
5. System Shows the error message for delete account
","1. Passed
2. Passed
3. Passed
4. Failed
5. Untested
",,Medium,Normal,"To be automated",Functional,,"1. 
2. 
3. 
4. 
5. ",
19,"Delete a Customer Account all invalid number","Delete Account",6,"Kaniz Fatema Any",0,Retest,"2023-01-04 16:18:54","1. Go to ABC Bank Login page
2. Login as a manager
3. Go to Delete Account
4. Account Number
5. Click Submit
","1. https://abc-bank.com/login
2. manager ID:123456,Password:67890
3. N/A
4. aqsrrew$@..
5. N/A
","1. Login page show
2. Dashboard Display
3. Delete Account Page will Display
4. System Allow input
5. System Shows the error message for delete account
",,,Medium,Normal,"To be automated",Functional,,,
19,"Delete a Customer Account all invalid number","Delete Account",6,"Kaniz Fatema Any",110000,Failed,"2023-01-04 16:21:33","1. Go to ABC Bank Login page
2. Login as a manager
3. Go to Delete Account
4. Account Number
5. Click Submit
","1. https://abc-bank.com/login
2. manager ID:123456,Password:67890
3. N/A
4. aqsrrew$@..
5. N/A
","1. Login page show
2. Dashboard Display
3. Delete Account Page will Display
4. System Allow input
5. System Shows the error message for delete account
","1. Passed
2. Passed
3. Passed
4. Failed
5. Untested
",,Medium,Normal,"To be automated",Functional,,"1. 
2. 
3. 
4. 
5. ",
20,"Delete a Customer Account Reset","Delete Account",6,"Kaniz Fatema Any",247154,Passed,"2023-01-04 16:22:26","1. Go to ABC Bank Login page
2. Login as a manager
3. Go to Delete Account
4. Account Number
5. Click Reset
","1. https://abc-bank.com/login
2. manager ID:123456,Password:67890
3. N/A
4. aqsrrew$@..
5. N/A
","1. Login page show
2. Dashboard Display
3. Delete Account Page will Display
4. System Allow input
5. ystem Successfully clear all data
","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
",,High,Major,"To be automated",Functional,,"1. 
2. 
3. 
4. 
5. ",
21,"Create a Login page",Login,7,"Kaniz Fatema Any",10539,Passed,"2023-01-04 16:17:11","1. Go to ABC Bank Login page
2. Login as a manager
3. Click Login
","1. https://abc-bank.com/login
2. manager ID:123456,Password:67890
3. N/A
","1. Login page show
2. Dashboard Display
3. System Successfully Login
","1. Passed
2. Passed
3. Passed
",,High,Major,"To be automated",Functional,,"1. 
2. 
3. ",
22,"Create a Login page Reset",Login,7,"Kaniz Fatema Any",11733,Passed,"2023-01-04 16:17:25","1. Go to ABC Bank Login page
2. Login as a manager
3. Click Reset
","1. https://abc-bank.com/login
2. manager ID:123456,Password:67890
3. N/A
","1. Login page show
2. Dashboard Display
3. System Successfully clear all data
","1. Passed
2. Passed
3. Passed
",,Medium,Normal,"To be automated",Functional,,"1. 
2. 
3. ",
23,"Create a Logout page",Logout,8,"Kaniz Fatema Any",12767,Passed,"2023-01-04 16:16:56","1. Go to ABC Bank Login page
2. Login as a manager
3. Click Login
4. Click Logout
","1. https://abc-bank.com/login
2. manager ID:123456,Password:67890
3. N/A
4. N/A
","1. Login page show
2. Dashboard Display
3. System Successfully Login
4. System Successfully Logout
","1. Passed
2. Untested
3. Passed
4. Passed
",,High,Major,"To be automated",Functional,,"1. 
2. 
3. 
4. ",
